segment,count,mean,std,mae,rmse,r2
1323_1324,556,32.0,19.0,10.18709843862632,12.139241008338391,-0.013224903755363338
1324_7068,556,42.0,11.0,9.478632163756847,11.06162199459177,-0.06542922150277208
1325_1326,606,45.0,19.0,12.671147036579482,16.234922718749335,0.050259902481106344
1326_1327,607,41.0,19.0,11.546691382610366,14.22449738777494,0.07942623755569211
1327_1328,609,31.0,15.0,10.89520439072015,13.28031966518614,0.05631944906660091
1328_1329,604,86.0,35.0,23.657580067241234,29.613147830462516,0.19664239387243454
1329_1330,1331,44.0,20.0,11.741926158293818,15.864193114465424,0.09428448288896862
133_134,570,48.0,17.0,10.711422703205596,13.1177383632387,0.028252103483821456
1330_1331,866,79.0,36.0,29.933011980300183,35.775853092721064,0.007727921718199804
1330_2919,163,55.0,28.0,21.13614441777876,25.500958403051673,-0.01636826416984216
1331_1332,1305,60.0,39.0,17.821135854197692,22.84653867299511,0.13029026721628478
1332_1333,1293,40.0,22.0,12.486357440476171,15.668866234901335,0.09524724674602525
1333_1334,1300,57.0,35.0,26.883155426778625,32.39134686847167,0.0932031849801227
1334_1335,267,68.0,48.0,24.170451151595486,32.467243742921944,0.14393424913802044
1334_2985,435,86.0,43.0,27.49572893981409,36.002091439376485,0.21874604910952555
1334_7293,585,42.0,42.0,17.458977861249846,22.908563764541707,0.11816989253627908
1335_1336,855,29.0,16.0,10.250766480902364,12.326960135919888,0.08669021662066279
1336_1337,611,92.0,37.0,26.84676902416773,33.286403114115025,0.12403009664960585
1337_1338,951,40.0,18.0,11.58617579242955,15.52436071733283,0.0009040917732089371
